SpMaxL, JDz(e),nHM,F01,F04,NssssC, C,class
3.92,2.69,0,0,0,0,31.4,RB
4.17,2.11,0,0,0,0,30.8,RB
3.93,3.25,0,0,0,0,26.7,RB
3,2.71,0,0,0,0,20,RB
4.24,3.39,0,0,0,0,29.4,RB
4.24,3.43,0,0,0,0,28.6,RB
5,5.05,1,0,0,0,11.1,RB
4.53,3.83,0,0,0,0,31.6,RB
4.6,3.08,0,0,0,0,44.4,RB
5.04,3.61,0,0,1,0,41.2,RB
4.91,2.74,0,0,0,0,52.9,RB
3.62,2.19,0,0,0,0,29.4,RB
4.21,2.63,0,0,0,0,30,RB
3.73,2.34,0,0,0,0,30,RB
3.88,2.6,0,0,0,0,31,RB
3.94,2.77,1,0,0,0,31.6,RB
3.97,2.85,1,0,0,0,32,RB
3.73,2.38,0,0,1,0,26.3,RB
4,2.63,0,0,0,0,23.1,RB
2,1.15,0,0,0,0,16.7,RB
3.73,2.41,0,0,0,0,27.8,RB
4,2.37,0,0,0,0,30,RB
3.41,2.25,0,0,0,0,20,RB
4.17,2.8,0,0,0,0,23.1,RB
4.3,2.96,0,0,0,0,25,RB
3.41,2.63,0,0,0,0,37.5,RB
4.21,3.01,0,0,0,0,25,RB
3.85,2.85,0,0,0,0,27.3,RB
3.41,2.37,0,0,0,0,30,RB
4.39,3.65,0,0,0,0,37,RB
4.56,3.32,0,0,0,0,31.3,RB
4,2.92,0,0,0,0,30,RB
4.69,3.65,0,0,0,0,30,RB
4.24,2.99,0,0,0,0,33.3,RB
4.17,3.45,0,0,0,0,27.3,RB
4.21,3.39,0,0,0,0,28.6,RB
4.21,3.71,0,0,0,0,33.3,RB
4.23,3.4,0,0,0,0,27.8,RB
4.33,3.69,0,0,0,0,33.3,RB
4.37,3.37,0,0,0,0,33.3,RB
5.39,4.59,0,0,0,1,30.8,RB
4.45,3.7,0,0,0,0,30,RB
4.41,3.59,0,0,0,0,31.8,RB
4.53,3.79,0,0,0,0,32.5,RB
4.35,3.13,0,0,0,0,33.3,RB
4.56,3.81,0,0,0,0,33.3,RB
4.63,4.01,0,0,0,0,33.3,RB
4.66,2.41,0,0,0,0,35,RB
4.64,3.91,0,0,0,0,31.6,RB
4.65,3.96,0,0,0,0,34.3,RB
4.47,4.2,0,0,0,0,33.3,RB
4.56,3.73,2,0,0,0,25,RB
5.21,3.38,0,0,1,0,30.8,RB
4.69,3.88,0,0,0,0,25,RB
4.17,3.62,0,0,0,0,28.6,RB
4.21,3.34,0,0,0,0,33.3,RB
5.21,3.58,0,0,1,0,30.6,RB
4.17,2.66,0,0,0,0,26.7,RB
5.18,3.9,0,0,0,1,29.6,RB
4.64,3,0,0,0,0,42.1,RB
4.61,2.94,0,0,0,0,42.1,RB
4.81,3.25,0,0,0,0,42.1,RB
4.83,3.34,0,0,0,0,40,RB
4.54,2.7,0,0,0,0,42.9,RB
4.52,2.71,0,0,0,0,45,RB
4.61,3.11,0,0,0,0,46.7,RB
4.86,3.36,0,0,0,0,42.1,RB
4.92,3.25,0,0,0,0,44.4,RB
5.07,3.4,0,0,0,0,41.7,RB
5.07,3.09,0,0,0,0,38.1,RB
4.91,3.23,0,0,0,0,41.7,RB
5.05,2.74,0,0,0,0,50,RB
4.79,2.12,0,0,0,0,50,RB
4.77,3.14,0,0,0,0,43.8,RB
5.31,3.46,1,0,0,0,35.3,RB
4.77,2.54,0,0,0,0,38.5,RB
4.41,2.18,0,0,0,0,31.6,RB
4.82,2.59,0,0,0,0,33.3,RB
5.33,2.17,1,0,0,0,47.4,RB
4.61,3.04,0,0,0,0,47.1,RB
5.81,2.49,0,0,0,2,37,RB
5.64,2.3,0,0,0,1,38.5,RB
5.81,2.43,0,0,0,2,34.5,RB
4.73,2.94,0,0,0,0,40,RB
4.92,2.73,0,0,0,0,50,RB
4.41,3.23,0,0,0,0,45.5,RB
4.41,2.37,0,0,0,0,29.4,RB
4.98,2.8,0,0,2,0,50,RB
4.65,2.72,0,0,0,0,31.3,RB
4.8,3.02,0,0,1,0,50,RB
5.16,3.29,1,0,0,0,23.1,RB
4.83,2.73,0,0,6,0,25,RB
4.83,2.9,1,0,1,0,39.3,RB
5.44,2.36,2,0,2,0,23.5,RB
4.74,2.65,0,0,2,0,39.1,RB
4.66,3.72,2,0,0,0,23.1,RB
3.98,2.89,0,0,0,0,32.3,RB
4.17,2.61,0,0,0,0,25,RB
3,1.82,0,0,0,0,20,RB
3.62,2.39,0,0,0,0,25,RB
3,1.82,0,0,0,0,22.2,RB
4,2.51,0,0,0,0,25,RB
4.44,3.14,0,0,0,0,29.6,RB
3.88,2.63,0,0,0,0,29.6,RB
3.95,2.8,0,0,0,0,31,RB
5.39,3.7,1,0,0,0,26.7,RB
3.73,2.48,0,0,0,0,25,RB
3.97,3.02,0,0,0,0,32.7,RB
3.41,2.47,0,0,0,0,30,RB
3.41,2.18,0,0,0,0,18.2,RB
4.33,3.14,0,0,0,0,26.3,RB
3,2.31,0,0,0,0,28.6,RB
4.17,2.9,0,0,0,0,30.8,RB
4.41,3.17,0,0,0,0,31.6,RB
4.41,3.41,0,0,0,0,33.3,RB
4.24,3.19,0,0,0,0,34.6,RB
4.52,4.02,0,0,0,0,31.6,RB
4.48,3.54,0,0,0,0,32.4,RB
4.84,5.7,0,0,0,0,32.5,RB
4.48,3.74,0,0,0,0,30,RB
4.24,3.39,0,0,0,0,28.6,RB
4.38,3.4,0,0,0,0,30.8,RB
4.41,3.44,0,0,0,0,33.9,RB
4.24,3.04,0,0,0,0,31.3,RB
4.24,3.02,0,0,0,0,31.8,RB
4.41,3.73,0,0,0,0,30.6,RB
4.54,3.99,0,0,0,0,30.4,RB
4.4,3.46,1,0,0,0,32.3,RB
4.71,4.28,0,0,0,0,30,RB
4.67,4.02,0,0,0,0,33.3,RB
4.64,3.7,0,0,0,0,33.3,RB
4.64,3.12,0,0,0,0,33.3,RB
4.34,3.94,0,0,0,0,33.3,RB
4.17,3.27,0,0,0,0,22.2,RB
4.59,4.03,0,0,0,0,32,RB
4.17,3.38,0,0,0,0,40,RB
5.1,3.84,1,0,0,0,17.6,RB
4.21,3.52,1,0,0,0,27.3,RB
5.1,3.13,1,0,0,0,27.3,RB
4.37,3.46,0,0,0,0,38.5,RB
4.17,2.22,0,0,0,0,27.3,RB
3.8,2.84,0,0,0,0,31.6,RB
4.24,3.08,0,0,0,0,28,RB
4.75,4,0,0,0,0,31,RB
4.62,4.72,0,0,0,0,33.3,RB
4.56,4.16,1,0,0,0,10,RB
4.77,2.89,0,0,0,0,41.7,RB
4.52,2.64,0,0,2,0,40,RB
4.41,3.14,0,0,0,0,46.2,RB
4.73,3.33,0,0,0,0,42.9,RB
4.61,3.15,0,0,0,0,41.2,RB
4.9,3.2,0,0,0,0,40.7,RB
4.97,3.57,3,0,0,0,46.2,RB
4.78,2.93,0,0,0,0,43.5,RB
4.87,3.27,0,0,0,0,40.9,RB
5.16,2.45,0,0,0,0,55.6,RB
5.07,3.28,0,0,0,0,40,RB
5.07,2.23,0,0,0,0,44.2,RB
5.07,3.19,0,0,0,0,43.8,RB
4.88,3.09,0,0,0,0,41.7,RB
4.84,2.98,0,0,0,0,41.7,RB
4.98,2.85,0,0,0,0,53.3,RB
4.83,2.25,0,0,0,0,50,RB
5.12,3.28,0,0,0,0,36.8,RB
4.73,3.08,0,0,0,0,46.7,RB
4.77,3.12,0,0,1,0,41.2,RB
4.95,2.74,0,0,0,0,38.7,RB
4.92,3.31,0,0,0,0,43.8,RB
4.97,3.39,0,0,0,0,42.9,RB
4.85,2.79,0,0,0,0,40,RB
5.31,3.46,1,0,0,0,37.5,RB
4.41,2.28,0,0,0,0,35.3,RB
4.96,2.74,0,0,0,0,52.4,RB
4.88,2.7,0,0,0,0,47.1,RB
4.41,2.84,0,0,0,0,41.7,RB
4.96,2.85,0,0,1,0,50,RB
4.79,2.87,0,0,0,0,30.8,RB
4.36,2.39,0,0,0,0,31.6,RB
4.98,4.26,0,0,0,0,23.1,RB
4.98,1.9,0,0,0,0,31.6,RB
5.16,3.05,0,0,1,0,26.7,RB
3.73,2.49,0,0,0,0,22.2,RB
3.97,2.92,0,0,2,0,30.8,RB
3.99,2.96,0,0,0,0,32.1,RB
4.24,2.78,0,0,0,0,29.6,RB
4.24,1.6,0,0,0,0,32.8,RB
4.36,3.03,0,0,0,0,27.3,RB
4.41,3.74,0,0,0,0,35.3,RB
4,3.22,0,0,0,0,25,RB
4.41,3.4,0,0,0,0,32.8,RB
4.53,4,0,0,0,0,32.4,RB
4.39,3.41,0,0,0,0,32.5,RB
4.26,3.19,1,0,0,0,28.6,RB
4.17,3.41,0,0,0,0,30,RB
4.65,4.03,0,0,1,0,31.3,RB
4.35,3.45,0,0,1,0,30.8,RB
4.34,3.94,0,0,0,0,33.3,RB
4.56,3.61,0,0,0,0,25,RB
4.69,3.91,0,0,0,0,26.7,RB
4.48,3.72,0,0,0,0,31.3,RB
4.39,3.99,0,0,0,0,32.4,RB
4.79,4.53,0,0,2,0,23.1,RB
4.3,3.33,0,0,0,0,34.8,RB
4.5,2.89,1,0,0,0,46.7,RB
4.65,2.67,0,0,2,0,41.7,RB
4.69,2.72,0,0,2,0,40.7,RB
4.54,2.59,0,0,2,0,40.9,RB
4.65,1.8,0,0,0,0,36.2,RB
4.56,3.21,0,0,0,0,42.9,RB
4.77,3.03,0,0,0,0,45,RB
5.07,2.49,0,0,0,0,36.1,RB
4.88,3.25,0,0,0,0,44.4,RB
4.84,2.38,0,0,0,0,50,RB
4.77,2.67,0,0,0,0,38.5,RB
4.68,1.77,0,0,2,0,33.3,RB
4.65,1.76,1,0,0,0,45.7,RB
4.68,3.18,0,0,0,0,44.4,RB
4.86,2.44,1,0,0,0,54.5,RB
4.48,2.77,0,0,0,0,33.3,RB
4.41,3.05,0,0,0,0,38.5,RB
4.3,2.67,0,0,0,0,33.3,RB
4.88,2.76,0,0,0,0,35.3,RB
4.41,2.91,0,0,0,0,30.8,RB
4.88,3.39,0,0,0,0,41.2,RB
4.17,3.19,0,0,0,0,20,RB
4.41,2.92,0,0,0,0,27.3,RB
5.08,3.55,0,0,1,0,38.1,RB
4.66,3.65,0,0,2,0,25,RB
3.41,2.44,1,0,0,0,33.3,RB
4.3,3.06,0,0,0,0,21.4,RB
4.3,3.05,1,0,0,0,23.1,RB
4.21,2.95,0,0,0,0,23.5,RB
3.73,2.67,0,0,0,0,20,RB
3.41,2.96,0,0,0,0,33.3,RB
4.24,2.99,0,0,0,0,32.1,RB
4.46,3.31,0,0,0,0,32.3,RB
4,3.08,0,0,0,0,22.2,RB
4.37,3.56,0,0,0,0,29.2,RB
4.38,3.22,0,0,0,0,33.3,RB
4.17,3.51,0,0,0,0,33.3,RB
4.35,3.46,0,0,0,0,33.3,RB
4.64,3.98,0,0,0,0,36.8,RB
4.65,3.65,0,0,4,0,23.1,RB
4.65,0.8,0,0,0,0,34.1,RB
3.9,2.73,0,0,1,0,33.3,RB
3,2.51,0,0,0,0,33.3,RB
4.36,3.65,0,0,0,0,33.3,RB
4.5,4.12,1,0,0,0,32,RB
4.59,2.88,0,0,1,0,42.1,RB
4.5,2.87,0,0,2,0,41.2,RB
4.6,3.26,0,0,0,0,42.9,RB
4.52,2.9,0,0,0,0,42.1,RB
4.61,3.12,0,0,1,0,38.9,RB
4.5,3.03,0,0,0,0,50,RB
4.73,3.02,0,0,0,0,47.1,RB
5.07,2.97,0,0,0,0,38.1,RB
5.08,2.92,0,0,0,0,36.4,RB
4.84,3.29,0,0,1,0,41.2,RB
5.02,3.53,0,0,0,0,38.9,RB
4.5,3.06,0,0,2,0,53.8,RB
4.41,2.15,0,0,1,0,30,RB
5.1,2.25,0,0,0,1,35.1,RB
4.79,2.96,0,0,0,0,45,RB
4.84,2.46,0,0,0,0,54.5,RB
4.3,2.98,0,0,0,0,30,RB
4.41,2.87,0,0,0,0,41.7,RB
4,2.11,0,0,0,0,29.4,RB
4.92,2.39,0,2,6,0,21.7,RB
4.98,4.26,0,0,0,0,23.1,RB
4.38,3.23,0,0,0,0,32.6,RB
3.96,2.81,0,0,0,0,31.9,RB
3.85,2.57,0,0,2,0,25,RB
3.8,2.73,0,0,0,0,22.2,RB
4.4,3.38,1,0,0,0,32.6,RB
4.33,3.69,0,0,0,0,33.3,RB
4.35,3.19,0,0,0,0,33.3,RB
4.41,3.21,0,0,0,0,44.4,RB
4.17,2.97,0,0,0,0,33.3,RB
4,3,0,0,0,0,50,RB
4.5,3.08,0,0,0,0,43.8,RB
4.78,3.27,0,0,2,0,38.9,RB
5.31,2.37,0,0,0,0,58.3,RB
4.98,1.95,0,0,0,0,32.4,RB
4.98,1.95,0,0,0,0,31.4,RB
4.83,3.19,3,0,0,0,46.7,NRB
4.56,1.89,0,0,6,0,35.1,NRB
4.98,2.39,0,0,0,0,42.1,NRB
6.32,7.72,0,0,0,11,31.6,NRB
6.33,7.92,0,0,0,13,31.8,NRB
5.24,3.92,6,0,0,0,50,NRB
5.52,3.7,0,0,0,3,36.7,NRB
4,2.3,0,0,0,0,40,NRB
5.51,3.46,0,0,0,4,30.9,NRB
5.8,1.94,1,0,0,0,53.3,NRB
5.45,2.82,0,1,9,2,39.2,NRB
5.45,3.49,0,0,0,3,37.5,NRB
4.88,2.42,2,0,0,0,54.5,NRB
5.5,2.75,0,0,0,4,38.7,NRB
5.87,2.71,5,0,0,2,48.3,NRB
6,1.88,6,0,0,3,44.4,NRB
6,2.11,6,0,0,3,46.2,NRB
6,2.38,8,0,0,3,41.7,NRB
5.49,2.76,0,0,0,2,42.6,NRB
5.03,1.69,2,0,7,0,38.8,NRB
5.29,4.31,8,0,0,2,28.6,NRB
4.91,3.46,3,0,0,0,50,NRB
5.03,3.59,4,0,0,0,50,NRB
4.94,3.52,4,0,0,0,50,NRB
5.12,3.74,5,0,0,0,50,NRB
5.04,2.61,3,0,1,0,48,NRB
5.15,1.86,0,0,0,0,40,NRB
4.68,2.16,0,0,0,0,52,NRB
5.11,2.49,4,0,2,0,44.8,NRB
5.05,2.17,0,0,4,0,53.3,NRB
4.46,3.63,0,0,8,0,25.7,NRB
4,2.73,0,1,0,0,16.7,NRB
5.38,4.86,1,0,0,1,20,NRB
3,2.01,0,0,0,0,22.2,NRB
4.41,3.42,0,0,0,0,28.6,NRB
3.88,3.11,0,0,0,0,26.1,NRB
3.41,2.17,2,0,0,0,20,NRB
4.73,3.06,0,0,0,0,28.6,NRB
4.17,3.02,1,0,0,0,22.2,NRB
5.25,4.96,0,1,0,2,33.3,NRB
3.41,3.46,1,0,0,0,28.6,NRB
3,1.93,0,1,0,0,11.1,NRB
4.64,2.94,1,0,0,0,47.4,NRB
5.33,3.13,4,0,0,0,53.3,NRB
4.78,3.13,2,0,0,0,46.7,NRB
4.91,3.29,0,0,1,0,40,NRB
4.73,3.24,0,0,2,0,37.5,NRB
4.6,3.13,0,0,2,0,41.2,NRB
4.56,3.16,1,0,1,0,42.9,NRB
5.03,3.58,0,0,2,0,40,NRB
4.78,3.2,1,0,1,0,41.2,NRB
5,3.52,3,1,3,0,37.5,NRB
5.32,3.11,0,0,0,1,40,NRB
4.81,3.25,0,0,0,0,42.1,NRB
4.64,3.19,0,0,1,0,38.9,NRB
4.97,3.66,1,0,1,0,40,NRB
5.37,3.11,0,0,0,1,39.1,NRB
4.78,3.28,1,0,2,0,53.8,NRB
4,2.29,0,0,0,0,40,NRB
4.68,2.28,0,0,4,0,28.6,NRB
4.83,2.47,0,0,0,0,33.3,NRB
5.51,2.18,3,0,0,0,48,NRB
5.2,3.17,0,0,6,0,45.5,NRB
5.1,2.73,0,0,0,0,55.6,NRB
4.8,1.4,0,0,6,0,42.2,NRB
4.3,3.34,0,0,0,0,33.3,NRB
4.5,3.13,0,0,0,0,46.7,NRB
5.36,1.89,0,0,2,1,28.9,NRB
5.34,2.23,2,0,4,0,58.3,NRB
4.5,2.39,0,0,0,0,28.6,NRB
4.52,2.28,0,0,3,0,25,NRB
4.98,2.35,0,0,2,0,40,NRB
4.6,3.42,2,0,0,0,45.5,NRB
4.65,3.04,2,0,0,0,33.3,NRB
4.92,2.72,1,0,2,0,46.7,NRB
3.41,2.21,2,0,0,0,25,NRB
4.92,3.03,0,0,0,0,41.7,NRB
5.31,3.41,1,0,3,0,31.6,NRB
5.07,2.47,0,0,0,0,50,NRB
4.91,2.34,0,0,0,0,48.1,NRB
5.13,3.39,0,0,0,1,30.8,NRB
5,3.76,4,0,0,1,20,NRB
5.65,4.64,6,0,0,2,25,NRB
5.65,4.81,2,0,0,2,25,NRB
4.52,3.44,0,0,0,0,28.6,NRB
4.34,4.37,0,1,2,0,16.7,NRB
4.74,4.19,2,0,4,0,24.1,NRB
5.26,4.76,1,0,0,0,27.7,NRB
5.33,4.07,1,0,0,0,30.2,NRB
4.73,2.98,0,0,0,0,47.4,NRB
4.91,3.25,0,0,0,0,42.9,NRB
4.83,3.08,0,0,0,0,45.5,NRB
4.64,2.8,0,0,0,0,41.7,NRB
4.68,2.87,0,0,0,0,41.7,NRB
4.83,3.2,0,0,0,0,50,NRB
4.73,3.02,1,0,0,0,50,NRB
4.52,2.88,1,0,0,0,50,NRB
4.6,3.23,2,0,0,0,50,NRB
4.56,3.18,2,0,0,0,50,NRB
4.73,3.3,2,0,0,0,50,NRB
4.56,3.14,2,0,0,0,50,NRB
4.81,3.3,2,0,0,0,46.7,NRB
4.91,3.39,2,0,0,0,46.7,NRB
4.64,3.05,0,0,2,0,40,NRB
4.68,2.3,0,0,2,0,50,NRB
4.81,3.35,2,0,1,0,42.9,NRB
4.81,3.35,2,0,1,0,42.9,NRB
4.65,2.34,0,1,7,0,46.2,NRB
4.92,3.55,0,0,2,0,37.5,NRB
4.97,3.63,1,0,2,0,37.5,NRB
5.1,3.94,1,0,3,0,33.3,NRB
4.92,3.57,1,0,1,0,42.9,NRB
5.04,3.84,0,0,2,0,37.5,NRB
5.07,3.85,0,0,3,0,36.8,NRB
5.01,3.74,0,0,2,0,36.8,NRB
4.9,3.49,1,0,1,0,41.2,NRB
5.4,3.78,1,0,1,1,41.2,NRB
5.01,3.78,1,0,2,0,37.5,NRB
4.9,3.54,2,0,1,0,42.9,NRB
4.96,3.6,2,0,1,0,42.9,NRB
5.1,2.64,0,0,10,0,44.8,NRB
4.77,3.06,0,0,0,0,45,NRB
4.95,2.98,0,0,0,0,40,NRB
4.81,2.85,0,0,0,0,40,NRB
5.46,2.93,0,0,0,2,37.8,NRB
4.79,1.91,0,0,0,0,36.7,NRB
5.47,3.32,0,0,0,2,37.2,NRB
5.42,3.33,0,0,0,2,37.8,NRB
5.1,3.23,0,0,0,0,38.7,NRB
5.38,3.28,0,0,0,1,39.3,NRB
4.96,3.14,0,0,0,0,40,NRB
5.49,3.56,0,0,0,2,37.2,NRB
5.49,3.59,0,0,0,2,36.6,NRB
4.71,2.17,0,0,0,0,50,NRB
4.82,2.05,0,0,0,0,39.4,NRB
4.85,2.78,0,0,0,0,36.8,NRB
5.38,3.35,0,0,0,1,37.9,NRB
4.95,3.6,0,0,2,0,38.9,NRB
4.97,3.6,0,0,1,0,38.9,NRB
4.96,3.55,0,0,1,0,38.9,NRB
4.9,3.5,0,0,1,0,38.9,NRB
5.17,3.82,0,0,4,0,34.5,NRB
4.73,3.32,1,0,0,0,46.2,NRB
4.6,3.25,1,0,0,0,46.2,NRB
4.56,3.17,1,0,0,0,46.2,NRB
4.6,3.22,1,0,0,0,46.2,NRB
4.73,3.29,1,0,0,0,46.2,NRB
4.62,2.62,2,0,0,0,45.5,NRB
4.81,3.32,1,0,0,0,43.8,NRB
4.81,3.39,2,0,0,0,46.2,NRB
4.81,3.34,2,0,0,0,46.2,NRB
4.91,3.48,2,0,0,0,46.2,NRB
4.91,3.48,2,0,0,0,46.2,NRB
4.81,3.39,2,0,0,0,46.2,NRB
4.73,3.38,2,0,0,0,46.2,NRB
5.07,3.81,2,0,1,0,40,NRB
4.56,1.97,0,0,0,0,48.3,NRB
4.96,2.36,0,0,0,0,54.2,NRB
4.64,3.1,0,0,4,0,57.1,NRB
5.27,3.97,4,0,4,0,57.1,NRB
4.87,3.09,2,0,4,0,36,NRB
5.39,2.12,5,0,7,0,44.2,NRB
4.99,3.2,0,0,2,0,37.5,NRB
4.98,3.23,0,0,2,0,37.9,NRB
4.87,3.49,0,0,2,0,47.4,NRB
4.5,2.13,0,0,0,0,33.3,NRB
4,2,0,0,0,0,33.3,NRB
4,2.26,0,0,0,0,37.5,NRB
5.24,2.89,6,0,0,0,33.3,NRB
4.41,2.17,1,0,0,0,33.3,NRB
4.81,2.51,4,0,0,0,33.3,NRB
5.4,3.4,6,0,0,0,34.6,NRB
5.28,3.46,2,0,1,0,31,NRB
5.24,3.84,5,0,0,0,46.2,NRB
5.46,3.7,0,0,0,2,37.5,NRB
5.3,3.6,5,0,0,0,35.7,NRB
4.87,2.34,0,0,0,0,50,NRB
5.11,2.42,0,0,0,0,47.1,NRB
4.73,2.16,0,0,2,0,44.8,NRB
5.61,2.1,0,0,0,1,45,NRB
4.96,2.43,2,0,0,0,48.1,NRB
5.22,2.74,6,0,0,0,48.1,NRB
4.89,2.29,2,0,2,0,44.8,NRB
5.42,2.61,0,0,0,2,40.4,NRB
4.89,1.79,0,0,2,0,31.9,NRB
5.51,2.45,0,0,0,1,45.5,NRB
5.08,1.95,0,0,0,0,42,NRB
5.66,2.67,2,0,0,1,45.7,NRB
5.53,2.67,4,0,0,1,45.5,NRB
5,2.94,0,0,3,0,50,NRB
5.1,3,0,0,6,0,45.5,NRB
5.12,3.02,0,0,6,0,45.5,NRB
4.93,2.06,0,0,3,0,53.3,NRB
5.18,3.08,2,0,0,0,52.6,NRB
4.86,2.41,0,0,0,0,45.5,NRB
4.8,2.13,0,0,0,0,42.9,NRB
4.78,2.29,0,0,0,0,42.9,NRB
5,2.04,0,0,0,0,45.5,NRB
5.35,2.41,0,0,3,0,53.8,NRB
4.88,2.44,0,0,0,0,50,NRB
5.39,2.17,0,0,0,1,47.4,NRB
5.12,1.68,0,0,0,0,42.3,NRB
4.84,2.25,0,0,3,0,53.8,NRB
4.8,2.62,0,0,4,0,39.1,NRB
4.93,2.97,0,0,3,0,41.2,NRB
4.5,3.07,0,0,1,0,46.7,NRB
4.41,3.25,0,0,1,0,38.5,NRB
4.41,3.2,0,0,0,0,38.5,NRB
4.41,3.22,0,0,1,0,38.5,NRB
5,3.06,0,0,1,0,50,NRB
5.05,2.25,1,0,2,0,52.2,NRB
5.29,3.48,2,0,1,0,30,NRB
5,2.28,0,0,6,0,41.5,NRB
4.8,2.3,3,0,1,0,45,NRB
5.78,1.49,0,0,5,1,47.9,NRB
4.84,3.27,1,0,6,0,28.1,NRB
4.99,2.55,0,0,3,0,50,NRB
4.97,2.32,2,0,0,0,52,NRB
3.62,3.2,1,0,0,0,44.4,NRB
5,3.54,3,0,0,1,25,NRB
5.35,6.99,0,0,0,1,32.7,NRB
3.98,2.96,0,0,1,0,32.8,NRB
4.17,3.33,1,1,0,0,10,NRB
5.38,3.41,0,0,0,2,44.4,NRB
4.8,3.44,0,0,2,0,37.5,NRB
4.92,3.58,0,0,1,0,40,NRB
4.78,3.31,0,0,1,0,38.9,NRB
4.97,3.6,0,0,2,0,38.9,NRB
4.86,3.09,2,0,0,0,42.1,NRB
5.37,2.9,1,0,3,0,34.5,NRB
5.52,2.71,1,0,2,0,41.4,NRB
4.86,3.07,2,0,3,0,37.5,NRB
4.85,2.33,2,1,6,0,46.2,NRB
5.01,2.32,0,0,0,0,56.5,NRB
5.19,2.62,3,0,2,1,45,NRB
5.72,2.02,0,0,4,1,43.3,NRB
5.41,2.42,1,2,11,1,42.5,NRB
4.59,2.33,0,0,0,0,29.6,NRB
4.77,2.81,1,0,2,0,33.3,NRB
5.12,1.94,0,0,6,0,53.3,NRB
5.28,2.03,1,0,3,0,54.5,NRB
5.05,2.39,2,1,8,0,42.9,NRB
5,2.64,1,1,12,0,37.1,NRB
5.42,2,1,0,4,0,52.6,NRB
5.47,2.1,0,0,7,0,50,NRB
5.32,2.63,0,0,2,1,42.9,NRB
4,2.87,3,0,0,0,20,NRB
